group_id,chunk_id,topic,category,risk_level,title,text,source_id,allowed_use,blocked_use,language
G20,G20_C011,Financial study pressure,coping_strategies,L0_NORMAL,Can students increase their income while studying without sacrificing,"Students can pursue income-generating strategies that are flexible enough to coexist with academic obligations: (1) On-campus work - campus jobs (library, cafeteria, admin offices) are typically designed around class schedules and understanding of academic demands. (2) Freelancing - digital skills like graphic design, writing, coding, social media management, or tutoring can be monetised on platforms like Fiverr, Upwork, or Freelancer with flexible hours. (3) Peer tutoring - universities often have paid tutoring programmes, or students can tutor independently in their strong subjects. (4) Research assistantships - academically strong students can earn stipends working with faculty on research projects. (5) Selling academic notes or creating educational. Use this for general student support, planning, budgeting, and resource direction.",S005,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C012,Financial study pressure,coping_strategies,L1_STRESS,Mindfulness and relaxation techniques help students cope with financia,"When money worries interrupt study time, students can use simple non-clinical grounding steps such as pausing, taking a few slow breaths, writing down the exact financial worry, and choosing one practical next action. Helpful next actions include contacting financial aid, checking scholarship or emergency support options, setting a small study block, or asking a trusted person to help make the first call or email. This is general student support, not a therapy plan or medical treatment.",S005,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C013,Financial study pressure,financial_literacy,L0_NORMAL,Can students build an emergency fund on a tight student budget,"Building an emergency fund on a student budget requires intentional, consistent small contributions rather than large lump-sum savings. The goal is to accumulate 1-3 months of essential expenses, which serves as a buffer against unexpected costs. Practical steps include: (1) Start with a micro-savings target - even $5-$10 per week adds up to $260-$520 over a year. (2) Automate transfers - set up an automatic transfer to a savings account on the day financial aid or wages are received, before spending. (3) Use a high-yield savings account - online banks like Marcus, Ally, or country-specific equivalents offer higher interest with no minimum balance. (4) Apply. Use this for general student support, planning, budgeting, and resource direction.",S003,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C014,Financial study pressure,financial_literacy,L0_NORMAL,Are the key things students should understand about student loans befo,"Before taking student loans, students should understand several critical concepts: (1) Types of loans - federal (subsidised vs. unsubsidised) vs. private loans. Subsidised federal loans don't accrue interest while studying; unsubsidised do. Private loans often have variable rates and fewer protections. (2) Interest and compound interest - the total cost of a loan is far greater than the principal. A $20,000 loan at 6.5% over 10 years costs approximately $27,000 total. (3) Borrowing only what is needed - students should borrow the minimum required, not the maximum offered. (4) Repayment options - income-driven repayment (IDR), Pay-as-You-Earn (PAYE), and Public Service Loan Forgiveness (PSLF) are available. Use this for general student support, planning, budgeting, and resource direction.",S003,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C015,Financial study pressure,financial_literacy,L0_NORMAL,Should students manage credit cards to avoid worsening financial stres,"Credit cards, if mismanaged, can rapidly accelerate financial stress for students. Key principles for responsible credit card use include: (1) Treat it as a debit card - only spend what you already have in your bank account; pay the full balance monthly to avoid interest charges (typical credit card APR is 20-30%). (2) Understand the difference between revolving debt and fixed debt - revolving credit card debt compounds monthly and can snowball quickly. (3) Avoid cash advances - these attract immediate interest with no grace period and often higher fees. (4) Monitor credit utilisation - keep usage below 30% of the credit limit to protect. Use this for general student support, planning, budgeting, and resource direction.",S003,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C016,Financial study pressure,financial_literacy,L0_NORMAL,Are practical ways students can reduce their monthly expenses,"Reducing monthly expenses requires a systematic review of all outgoings and creative substitution of lower-cost alternatives: (1) Housing - consider living with roommates, choosing accommodation farther from campus, or university-subsidised housing where available. (2) Food - meal prepping in bulk (grains, legumes, vegetables) is significantly cheaper than eating out; campus food banks and pantries (available at many universities) can supplement. (3) Transport - use student discounts on public transport, cycle, carpool, or walk; avoid car ownership if possible. (4) Textbooks - use library copies, rent from BookFinder, use OpenStax free textbooks, buy previous editions (content is usually similar), or use PDF versions where legally available. Use this for general student support, planning, budgeting, and resource direction.",S003,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C017,Financial study pressure,institutional_support,L0_NORMAL,Can financial counselling help students under financial study pressure,"Financial counselling can help students understand income, expenses, debts, deadlines, and aid options in one organized place. A financial counsellor or trained student-support adviser can help a student prepare a realistic budget, prioritize urgent payments, ask about scholarships or emergency grants, and communicate with the university finance office. The support should stay practical and educational: it should not diagnose mental health conditions or promise a guaranteed financial outcome. If money pressure is also causing strong distress, the student should be encouraged to speak with campus wellbeing services, a trusted staff member, or another qualified human support person.",S004,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C018,Financial study pressure,institutional_support,L0_NORMAL,Is an emergency aid fund and how can students access it,"An emergency aid fund is a reserve of money maintained by a university or college specifically to help students facing sudden, unexpected financial hardship that threatens their ability to continue studying. These funds are designed to bridge short-term crises, not to replace ongoing financial aid. Common qualifying situations include: unexpected medical expenses, sudden loss of employment by the student or a supporting family member, emergency travel for family bereavement, natural disasters affecting the student's household, unexpected housing loss, or theft of essential equipment (laptop, phone). How to access emergency aid: (1) Contact the university's Student Services, Financial Aid Office, or Dean of Students office. (2). Use this for general student support, planning, budgeting, and resource direction.",S004,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C019,Financial study pressure,institutional_support,L0_NORMAL,Do peer support networks help students manage financial study pressure,"Peer support networks are a powerful but underappreciated resource for students experiencing financial study pressure. The psychological benefit of peer support in university environments was highlighted by Pointon-Haas et al. (2024), cited in the IJRISS study, which found that supportive university environments can foster resilience and reduce stigma around seeking mental health help. Financial stress in particular carries a social stigma - students often avoid discussing money problems for fear of judgment or appearing incompetent. Peer support normalises financial struggle as a shared experience rather than a personal failure. Specific mechanisms by which peer networks help include: (1) Information sharing - peers who have navigated. Use this for general student support, planning, budgeting, and resource direction.",S004,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C020,Financial study pressure,institutional_support,L0_NORMAL,Government programs and policies exist to support financially stressed,"Government-level interventions represent the structural layer of financial support for students, operating above the institutional level: (1) In the U.S. - the Federal Pell Grant provides up to $7,395 per year for low-income undergraduates. Federal Work-Study provides part-time employment subsidised by the government. Income-Driven Repayment (IDR) plans cap monthly loan repayments at a percentage of discretionary income. Public Service Loan Forgiveness (PSLF) cancels remaining debt after 10 years of qualifying payments for government or non-profit employees. The TEACH Grant ($4,000/year) supports students pursuing education careers. (2) In the UK - the Student Loan Company provides maintenance loans adjusted for household income and geography; the NHS. Use this for general student support, planning, budgeting, and resource direction.",S004,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C021,Financial study pressure,psychology_behaviour,L0_NORMAL,Does financial stress create a cycle that is hard for students to brea,"Financial stress creates a self-reinforcing cycle through several interconnected mechanisms: (1) Cognitive impairment -> poor decisions - when financial stress occupies mental bandwidth, students make worse financial decisions (impulse spending for relief, avoiding financial planning because it triggers anxiety), which worsen their situation. (2) Academic decline -> fewer opportunities - reduced academic performance lowers GPA, closing doors to merit-based scholarships, graduate school, and competitive employment that would resolve the financial situation. (3) Physical health decline -> healthcare costs - stress-induced health problems that go untreated (due to cost) become more expensive later. (4) Social isolation -> reduced support - shame-driven withdrawal from peers removes the. Use this for general student support, planning, budgeting, and resource direction.",S002,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C022,Financial study pressure,psychology_behaviour,L0_NORMAL,Do students often avoid seeking help for financial problems,"Help-avoidance is a documented phenomenon among financially stressed students and stems from several psychological and systemic barriers: (1) Shame and stigma - financial difficulty is culturally framed as a personal failure rather than a structural/systemic issue, making students reluctant to disclose their situation. (2) Perceived incompetence - students fear that admitting financial struggle will make others think they are bad at adulting or incapable. (3) Pride - especially among students from families that sacrificed for their education, admitting financial failure feels like betraying that sacrifice. (4) Lack of awareness - many students don't know what support is available, who to approach, or how to access. Use this for general student support, planning, budgeting, and resource direction.",S002,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C023,Financial study pressure,psychology_behaviour,L0_NORMAL,Does financial stress affect social relationships and social life of s,"Financial stress significantly disrupts students' social lives and relationships through multiple pathways: (1) Withdrawal from social activities - students unable to afford dining out, cinema, travel, or event tickets progressively exclude themselves from peer activities, leading to isolation. Grand Rising Behavioral Health (2024) confirms that financially strained students report adverse effects on their social lives. (2) Relationship tension - financial stress spills into romantic relationships, friendships, and family dynamics, causing arguments about money, resentment, or emotional withdrawal. (3) Comparison anxiety - social media amplifies the perception that peers have more financial security, intensifying feelings of inadequacy and shame. (4) Reduced social reciprocity - students who. Use this for general student support, planning, budgeting, and resource direction.",S002,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C024,Financial study pressure,psychology_behaviour,L1_STRESS,Psychological interventions are most effective for financially stresse,"Students who feel emotionally overwhelmed by financial pressure should be directed toward qualified campus counseling, wellbeing services, or another appropriate professional support route. A chatbot or class corpus should not provide therapy plans, clinical treatment instructions, diagnosis, or medication advice. Safe support can include naming the problem, encouraging the student to contact financial aid or student services, helping them prepare questions for an appointment, and reminding them to involve a trusted person if distress is becoming hard to manage.",S002,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C025,Financial study pressure,specific_situations,L0_NORMAL,Can international students manage the additional financial pressures t,"International students face compounded financial pressures compared to domestic students: (1) Higher tuition fees - international students typically pay 2-4x more tuition than domestic students; in some institutions, fees exceed $50,000/year. (2) Limited work rights - many student visas restrict working hours (e.g., 20 hours/week in the U.S. on an F-1 visa, 28 hours in the UK on a Student Visa). (3) No access to most government aid - federal/national grants and loans are typically restricted to citizens or permanent residents. (4) Currency exchange risk - if income is from family in another country, exchange rate fluctuations can significantly impact real purchasing power. (5) Higher. Use this for general student support, planning, budgeting, and resource direction.",S003,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C026,Financial study pressure,specific_situations,L0_NORMAL,Does financial study pressure affect postgraduate and phd students dif,"Postgraduate and PhD students face a distinct set of financial pressures compared to undergraduates: (1) Stipends often below living wage - PhD stipends in many countries do not keep pace with inflation or local cost of living. In the U.S., average PhD stipends range from $20,000-$35,000/year, with stipend increases lagging behind post-pandemic inflation. (2) Extended degree timelines - PhDs typically take 4-7 years, meaning longer financial strain with uncertain employment outcomes. (3) Limited external funding eligibility - many scholarships and grants are undergraduate-only. (4) Publication and conference costs - presenting research requires funding for travel, registration, and in some disciplines, publication fees. (5) Healthcare and. Use this for general student support, planning, budgeting, and resource direction.",S003,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C027,Financial study pressure,specific_situations,L0_NORMAL,Financial challenges do mature/adult learners face when returning to e,"Mature students - typically defined as those aged 25 or older returning to education - face a unique and often more severe set of financial pressures: (1) Pre-existing financial obligations - mortgage or rent payments, family dependents, and credit commitments exist before the cost of study is added. (2) Income replacement - returning to full-time study means replacing a previous salary, which may be significant. The Ellucian 2024 survey found that 58% of respondents were working adult learners, showing how common this dual burden is. (3) Reduced eligibility for certain student benefits - some government aid programmes prioritise traditional-age students. (4) Employer tuition support limitations. Use this for general student support, planning, budgeting, and resource direction.",S003,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C028,Financial study pressure,specific_situations,L0_NORMAL,Does living off-campus versus on-campus affect student financial stres,"The housing arrangement significantly shapes students' financial stress profile. The BMC Public Health (2024) study of Lebanese students found that living off-campus was an independent predictor of higher PSS-10 (perceived stress) scores and WHO-5 wellbeing scores - indicating that off-campus students face more complex financial management challenges. Key considerations: On-campus housing advantages - predictable all-inclusive cost (utilities, internet, sometimes meals), no landlord negotiations, no lease break penalties, proximity to academic resources, and often subsidised by the institution. On-campus disadvantages - typically more expensive per month than shared off-campus rentals, less control over living environment, and limited availability. Off-campus advantages - potential cost savings through sharing. Use this for general student support, planning, budgeting, and resource direction.",S003,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C029,Financial study pressure,technology_resources,L0_NORMAL,Are the best free online resources for student financial education,"A wide range of free online resources can help students build the financial literacy needed to manage study-related financial pressure: (1) Government portals - the U.S. Federal Student Aid website (studentaid.gov) provides comprehensive information on FAFSA, loans, repayment plans, and forgiveness programs. (2) University financial aid offices - most have online resources, calculators, and guides specific to their institution and local aid programs. (3) Khan Academy - offers free courses on personal finance, budgeting, taxes, credit, and investing, presented accessibly. (4) CFPB (Consumer Financial Protection Bureau) - provides free financial education tools at consumerfinance.gov, including student loan tools. (5) AFCPE (Association for Financial Counseling and. Use this for general student support, planning, budgeting, and resource direction.",S006,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C030,Financial study pressure,technology_resources,L0_NORMAL,Can a chatbot help students dealing with financial study pressure,"A chatbot focused on financial study pressure can deliver meaningful support across several dimensions: (1) 24/7 accessibility - unlike human counsellors with office hours, a chatbot is available at 2am when financial anxiety spikes and prevents sleep. (2) Stigma-free interaction - students who feel ashamed to discuss finances with another person can explore their concerns privately with a chatbot. Research on mental health chatbots (e.g., Woebot studies) shows that users disclose more openly with AI than with humans due to reduced fear of judgment. (3) Information provision - the chatbot can answer questions about scholarships, financial aid, budgeting strategies, and university resources, functioning as a. Use this for general student support, planning, budgeting, and resource direction.",S006,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
G20,G20_C031,Financial study pressure,long_term_systemic,L0_NORMAL,Systemic changes are needed to reduce financial study pressure across,"Addressing financial study pressure at scale requires structural reform across multiple levels: (1) Tuition cost reform - public university funding needs to be restored (in many countries, state funding has declined, shifting costs to students). Free or heavily subsidised higher education models (Germany, Nordic countries, increasingly Scotland) demonstrate viability. (2) Stipend and financial aid adequacy - PhD stipends and financial aid should be indexed to regional cost of living and reviewed annually. (3) Universal basic income pilots for students - several countries are piloting unconditional basic income for students to remove the crisis-management dimension of study. (4) Mental health integration - financial stress support should. Use this for general student support, planning, budgeting, and resource direction.",S001,Student financial support and safe academic guidance,"Medical diagnosis, medication advice, guaranteed financial or legal outcomes, or crisis-only handling without human support",English
